Date of Draw,1st_D,2nd_D,3rd_D,4th_D,5th_D,6th_D,1st_Del,2nd_Del,3rd_Del,4th_Del,5th_Del,6th_Del
2011/4/14,24,26,43,71,79,80,1,14,19,26,28,28
2011/4/16,9,17,29,37,49,68,6,10,12,23,24,28
2011/4/19,9,12,21,34,64,67,1,1,21,26,27,37
2011/4/21,8,14,23,25,45,69,4,6,7,26,35,36
2011/4/23,6,34,35,54,62,84,1,7,11,20,25,30
2011/4/26,14,32,56,72,78,79,3,5,11,11,26,28
2011/4/28,38,42,45,69,86,90,9,10,11,11,19,33
2011/4/30,15,29,36,48,74,83,7,8,19,20,23,31
2011/5/3,30,40,51,52,54,74,1,3,10,11,27,36
2011/5/5,21,31,33,40,50,52,1,14,17,20,28,29
2011/5/7,3,4,22,43,65,67,11,16,19,24,28,33
2011/5/10,12,35,75,76,82,84,3,3,8,12,22,24
2011/5/12,1,3,6,21,85,90,0,0,8,24,24,33
2011/5/14,2,21,22,56,70,81,4,13,18,21,26,35
2011/5/17,28,41,55,69,79,82,9,15,16,22,29,29
2011/5/19,5,24,32,78,80,83,0,1,3,6,24,26
2011/5/21,8,12,18,31,32,85,0,5,17,18,23,37
2011/5/24,65,72,74,79,87,90,3,10,22,22,29,33
2011/5/26,20,24,31,38,54,72,2,5,8,9,33,35
2011/5/28,15,16,79,80,84,88,1,4,7,9,11,26
2011/5/31,1,10,62,69,78,85,0,13,19,27,30,32
2011/6/3,14,16,24,30,34,72,3,6,7,7,32,34
2011/6/4,21,44,46,49,58,67,12,13,14,18,28,35
2011/6/7,5,20,44,51,54,90,4,11,14,15,17,21
2011/6/9,10,17,21,35,36,76,5,6,12,19,33,33
2011/6/11,11,29,39,41,43,55,0,8,15,15,16,26
2011/6/14,40,44,49,57,58,87,4,7,16,22,28,34
2011/6/16,18,48,57,59,84,87,0,1,4,12,18,26
2011/6/18,19,22,25,67,74,89,0,8,14,18,27,29
2011/6/21,2,41,62,75,79,87,10,18,18,21,23,34
2011/6/23,11,27,47,50,58,82,1,1,20,26,32,36
2011/6/25,11,17,35,42,71,76,13,15,22,24,28,30
2011/6/28,5,6,29,43,66,74,7,11,17,24,25,33
